Info 146  [22:14:51.630] Elapsed:: 0.004333004355430603ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/lodash.isplainobject :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 147  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/express-jwt :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 148  [22:14:51.630] Elapsed:: 0.020457997918128967ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/express-jwt :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 149  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/ecdsa-sig-formatter :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 150  [22:14:51.630] Elapsed:: 0.021416008472442627ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/ecdsa-sig-formatter :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 151  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 152  [22:14:51.631] Elapsed:: 0.03145800530910492ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 153  [22:14:51.631] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types/jsonwebtoken :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 154  [22:14:51.631] Elapsed:: 0.0225830078125ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types/jsonwebtoken :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 155  [22:14:51.631] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types/node :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 156  [22:14:51.631] Elapsed:: 0.022165998816490173ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/@types/node :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 157  [22:14:51.631] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jsonwebtoken :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 158  [22:14:51.631] Elapsed:: 0.021333009004592896ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jsonwebtoken :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 159  [22:14:51.631] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jsonwebtoken/node_modules :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 160  [22:14:51.631] Elapsed:: 0.02237500250339508ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jsonwebtoken/node_modules :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 161  [22:14:51.632] DirectoryWatcher:: Triggered with /Users/wayneolson/dev/projects/contact-pro/backend/node_modules/express-unless :: WatchInfo: /Users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 162  [22:14:51.632] Elapsed:: 0.21883399784564972ms DirectoryWatcher:: Triggered with /Users/wayneolson/dev/projects/contact-pro/backend/node_modules/express-unless :: WatchInfo: /Users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
